record_id,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
589,409710,BioShock Remastered,2K Boston,2K,0.8,1000000,"['Action', 'RPG']"
602,41700,S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,GSC Game World,0.8,1000000,"['Action', 'RPG']"
611,420530,OneShot,Future Cat LLC,Degica,0.8,200000,"['Adventure', 'Casual', 'Indie']"
627,429660,Tales of Berseria,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,0.8,500000,"['Action', 'RPG']"
637,437920,Tricky Towers,WeirdBeard,WeirdBeard,0.8,200000,"['Casual', 'Indie']"
644,44350,GRID 2,Codemasters Racing,Codemasters,0.8,5000000,"['Racing', 'Sports']"
673,466560,Northgard,Shiro Games,Shiro Games,0.8,1000000,"['Indie', 'Simulation', 'Strategy', 'in Early Access']"
694,482730,Football Manager 2017,Sports Interactive,SEGA,0.8,1000000,"['Simulation', 'Sports']"
703,4920,Natural Selection 2,Unknown Worlds Entertainment,Unknown Worlds Entertainment,0.8,1000000,"['Action', 'Indie', 'Strategy']"
745,544810,KARDS - The WWII Card Game,1939 Games,1939 Games,0.8,500000,"['Casual', 'Free to Play', 'Indie', 'Strategy', 'in Early Access']"
769,567640,Danganronpa V3: Killing Harmony,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",0.8,200000,['Adventure']
797,601430,The Evil Within 2,Tango Gameworks,Bethesda Softworks,0.8,200000,"['Action', 'Adventure']"
806,609320,FAR: Lone Sails,Okomotive,Mixtvision,0.8,200000,"['Action', 'Adventure', 'Indie']"
911,787480,Phoenix Wright: Ace Attorney Trilogy,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.8,200000,['Adventure']
68,15100,Assassin's Creed: Director's Cut Edition,Ubisoft Montreal,Ubisoft,0.79,500000,"['Action', 'Adventure']"
89,203140,Hitman: Absolution,Io-Interactive A/S,Io-Interactive A/S,0.79,2000000,['Action']
97,204450,Call of Juarez Gunslinger,Techland,Ubisoft,0.79,1000000,['Action']
145,218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,0.79,10000000000,"['Action', 'RPG']"
